"Code No. (Octal)",,,"Eqpt. ID (Hex)",,,"Transmission Order Bit Position",,,,,,,,"Parameter","Data",,,,"Notes & Cross Ref. to Tables in Att. 6"
,,,0,2,0,0,1,0,0,0,1,0,0,"Selected Vertical Speed","X",,,,
,,,0,2,9,0,1,0,0,0,1,0,0,"DC Voltage (Battery)","X",,,,
,,,0,2,"B",0,1,0,0,0,1,0,0,"Selected Vertical Speed","X",,,,
,,,0,5,6,0,1,0,0,0,1,0,0,"Selected Vertical Speed","X",,,,
,,,0,6,0,0,1,0,0,0,1,0,0,"Selected Vertical Speed","X",,,,
,,,0,"A",1,0,1,0,0,0,1,0,0,"Selected Vertical Speed","X",,,,
,,,0,"B","B",0,1,0,0,0,1,0,0,"Right Outboard Flap Position","X",,,,
"1     0      5",,,0,0,2,0,1,0,0,0,1,0,1,"Selected Runway Heading","X",,,,
,,,0,1,0,0,1,0,0,0,1,0,1,"Selected Runway Heading","X",,,,
,,,0,1,"B",0,1,0,0,0,1,0,1,"Left/PDU Slat","X",,,,
,,,0,2,0,0,1,0,0,0,1,0,1,"Selected Runway Heading","X",,,,
,,,0,2,9,0,1,0,0,0,1,0,1,"Oil Temperature Input (IDG/CSD)","X",,,,
,,,0,5,5,0,1,0,0,0,1,0,1,"Selected Runway Heading","X",,,,
,,,0,5,6,0,1,0,0,0,1,0,1,"Selected Runway Heading","X",,,,
,,,0,6,0,0,1,0,0,0,1,0,1,"Selected Runway Heading","X",,,,
,,,0,"A",1,0,1,0,0,0,1,0,1,"Selected Runway Heading","X",,,,
,,,0,"B",0,0,1,0,0,0,1,0,1,"Selected Runway Heading","X",,,,
,,,0,"B","B",0,1,0,0,0,1,0,1,"Left Inboard Flap Position","X",,,,
"1     0      6",,,0,0,2,0,1,0,0,0,1,1,0,"Selected Mach","X",,,,"6-27"
,,,0,1,"B",0,1,0,0,0,1,1,0,"Right/PDU Slat","X",,,,
,,,0,2,0,0,1,0,0,0,1,1,0,"Selected Mach","X",,,,
,,,0,2,9,0,1,0,0,0,1,1,0,"Oil Temperature Input (IDG/CSD)","X",,,,
,,,0,5,6,0,1,0,0,0,1,1,0,"Selected Mach","X",,,,
,,,0,6,0,0,1,0,0,0,1,1,0,"Selected Mach","X",,,,
,,,0,"A",1,0,1,0,0,0,1,1,0,"Selected Mach","X",,,,
,,,0,"B","B",0,1,0,0,0,1,1,0,"Right Inboard Flap Position","X",,,,
"1     0      7",,,0,0,2,0,1,0,0,0,1,1,1,"Selected Cruise Altitude","X",,,,
,,,0,1,"B",0,1,0,0,0,1,1,1,"Flap/Slat Lever","X",,,,
,,,0,3,7,0,1,0,0,0,1,1,1,"Longitude Zero Fuel C/G","X",,,,
,,,0,5,6,0,1,0,0,0,1,1,1,"Selected Cruise Altitude","X",,,,
,,,0,6,0,0,1,0,0,0,1,1,1,"Selected Cruise Altitude","X",,,,
,,,0,"B","B",0,1,0,0,0,1,1,1,"Flap Lever Position - Median Value","X",,,,
"1     1     0",,,0,0,1,0,1,0,0,1,0,0,0,"Selected Course #2","X",,,,
,,,0,0,2,0,1,0,0,1,0,0,0,"Selected Course #2","X",,,,
,,,0,0,"B",0,1,0,0,1,0,0,0,"GNSS Latitude","X",,,,
,,,0,1,0,0,1,0,0,1,0,0,0,"Selected Course #2","X",,,,
,,,0,1,1,0,1,0,0,1,0,0,0,"Selected Course #2","X",,,,
,,,0,2,0,0,1,0,0,1,0,0,0,"Selected Course #2","X",,,,
,,,0,"A",1,0,1,0,0,1,0,0,0,"Selected Course #2","X",,,,
,,,0,"B",1,0,1,0,0,1,0,0,0,"Selected Course #2","X",,,,
,,,0,"B","B",0,1,0,0,1,0,0,0,"Flap Lever Position - Center","X",,,,
"1     1      1",,,0,0,1,0,1,0,0,1,0,0,1,"Test Word A",,,"X",,
,,,0,0,"B",0,1,0,0,1,0,0,1,"GNSS Longitude","X",,,,
,,,0,1,"D",0,1,0,0,1,0,0,1,"Test Word A",,,"X",,
"1     1      2",,,0,0,2,0,1,0,0,1,0,1,0,"Runway Length","X",,,,
,,,0,0,"B",0,1,0,0,1,0,1,0,"GNSS Ground Speed","X",,,,
,,,0,"A",1,0,1,0,0,1,0,1,0,"Selected EPR","X",,,,
,,,0,"A",1,0,1,0,0,1,0,1,0,"Selected N1","X",,,,
,,,0,"B","B",0,1,0,0,1,0,1,0,"Flap Lever Position - Left",,,,,
"1     1      3",,,0,,,0,1,0,0,1,0,1,1,"Spare",,,,,
"1     1      4",,,0,0,2,0,1,0,0,1,1,0,0,"Desired Track","X",,,,"6-27"
,,,0,2,9,0,1,0,0,1,1,0,0,"Brake Temperature (Left Inner L/G)","X",,,,
,,,0,2,"F",0,1,0,0,1,1,0,0,"Ambient Pressure","X",,,,
,,,0,3,"F",0,1,0,0,1,1,0,0,"Pamb Sensor","X",,,,
,,,0,5,6,0,1,0,0,1,1,0,0,"Desired Track","X",,,,
,,,0,6,0,0,1,0,0,1,1,0,0,"Desired Track","X",,,,
,,,0,"B","B",0,1,0,0,1,1,0,0,"Flap Lever Position - Right","X",,,,
,,,0,"C","C",0,1,0,0,1,1,0,0,"Wheel Torque Output","X",,,,
,,,1,0,"A",0,1,0,0,1,1,0,0,"Selected Ambient Static Pressure","X",,,,
,,,1,0,"B",0,1,0,0,1,1,0,0,"Selected Ambient Static Pressure","X",,,,
,,,1,3,"A",0,1,0,0,1,1,0,0,"Ambient Pressure","X",,,,
"1     1      5",,,0,0,2,0,1,0,0,1,1,0,1,"Waypoint Bearing","X",,,,
,,,0,2,9,0,1,0,0,1,1,0,1,"Brake Temperature (Left Outer L/G)","X",,,,
,,,0,2,"F",0,1,0,0,1,1,0,1,"Fuel Temperature","X",,,,
,,,0,3,"F",0,1,0,0,1,1,0,1,"Fuel Temperature","X",,,,
,,,0,5,6,0,1,0,0,1,1,0,1,"Waypoint Bearing","X",,,,
,,,0,6,0,0,1,0,0,1,1,0,1,"Waypoint Bearing","X",,,,
,,,0,"B","C",0,1,0,0,1,1,0,1,"Fuel Temperature","X",,,,
,,,0,"C","C",0,1,0,0,1,1,0,1,"Wheel Torque Output","X",,,,"6-26"
"1     1      6",,,0,0,2,0,1,0,0,1,1,1,0,"Cross Track Distance","X",,,,"6-27"
,,,0,0,"B",0,1,0,0,1,1,1,0,"Horizontal GLS Deviation Rectilinear","X",,,,
,,,0,2,9,0,1,0,0,1,1,1,0,"Brake Temperature (Right Inner L/G)","X",,,,
,,,0,5,5,0,1,0,0,1,1,1,0,"Horizontal GLS Deviation Rectilinear","X",,,,
,,,0,5,6,0,1,0,0,1,1,1,0,"Cross Track Distance","X",,,,
,,,0,6,0,0,1,0,0,1,1,1,0,"Cross Track Distance","X",,,,
,,,0,"C","C",0,1,0,0,1,1,1,0,"Wheel Torque Output","X",,,,"6-26"
"1     1      7",,,0,0,2,0,1,0,0,1,1,1,1,"Vertical Deviation","X",,,,"6-27"
,,,0,0,"B",0,1,0,0,1,1,1,1,"Vertical GLS Deviation Rectilinear","X",,,,
,,,0,2,9,0,1,0,0,1,1,1,1,"Brake Temperature (Right Inner L/G)","X",,,,
,,,0,5,5,0,1,0,0,1,1,1,1,"Vertical GLS Deviation Rectilinear","X",,,,
,,,0,5,6,0,1,0,0,1,1,1,1,"Vertical Deviation","X",,,,
,,,0,6,0,0,1,0,0,1,1,1,1,"Vertical Deviation","X",,,,
,,,0,"C","C",0,1,0,0,1,1,1,1,"Wheel Torque Output","X",,,,"6-26"
"1     2      0",,,0,0,2,0,1,0,1,0,0,0,0,"Range to Altitude","X",,,,
,,,0,0,"B",0,1,0,1,0,0,0,0,"GNSS Latitude Fine","X",,,,
,,,0,2,9,0,1,0,1,0,0,0,0,"Pack Bypass Turbine Position","X",,,,
,,,0,5,6,0,1,0,1,0,0,0,0,"Range to Altitude","X",,,,
,,,0,6,0,0,1,0,1,0,0,0,0,"Range to Altitude","X",,,,
"1     2      1",,,0,0,2,0,1,0,1,0,0,0,1,"Horizontal Command Signal","X",,,,
,,,0,0,"B",0,1,0,1,0,0,0,1,"GNSS Longitude Fine","X",,,,
,,,0,2,5,0,1,0,1,0,0,0,1,"Pitch Limit","X",,,,
,,,0,2,9,0,1,0,1,0,0,0,1,"Pack Outlet Temperature","X",,,,
,,,0,5,6,0,1,0,1,0,0,0,1,"Horizontal Command Signal","X",,,,
,,,0,6,0,0,1,0,1,0,0,0,1,"Horizontal Command Signal","X",,,,
"1     2      2",,,0,0,2,0,1,0,1,0,0,1,0,"Vertical Command Signal","X",,,,
,,,0,2,9,0,1,0,1,0,0,1,0,"Pack Turbine Inlet Temperature","X",,,,
,,,0,5,6,0,1,0,1,0,0,1,0,"Vertical Command Signal","X",,,,
,,,0,6,0,0,1,0,1,0,0,1,0,"Vertical Command Signal","X",,,,
"1     2      3",,,0,0,2,0,1,0,1,0,0,1,1,"Throttle Command","X",,,,
"1     2      4",,,0,0,"B",0,1,0,1,0,0,1,1,"Digital Time Mark",,,"X",,
,,,0,"A",5,0,1,0,1,0,0,1,1,"Client Device for GNSS Receiver","X",,,,"6-49"
,,,1,"E",2,0,1,0,1,0,1,0,0,"Horizontal Alarm Limit","X",,,,
"1     2      5",,,0,0,2,0,1,0,1,0,1,0,1,"Universal Time Coordinated  (UTC)",,"X",,,"6-25"
,,,0,0,"B",0,1,0,1,0,1,0,1,"Universal Time Coordinated  (UTC)",,"X",,,
,,,0,3,1,0,1,0,1,0,1,0,1,"Universal Time Coordinated (UTC)",,"X",,,"6-25"
,,,0,5,6,0,1,0,1,0,1,0,1,"Universal Time Coordinated (UTC)",,"X",,,
,,,0,6,0,0,1,0,1,0,1,0,1,"Universal Time Coordinated  (UTC)",,"X",,,
"1     2      6",,,0,0,2,0,1,0,1,0,1,1,0,"Vertical Deviation (wide)","X",,,,
,,,0,2,6,0,1,0,1,0,1,1,0,"FWC Word","X",,,,
,,,0,2,9,0,1,0,1,0,1,1,0,"Pack Flow","X",,,,
,,,0,5,6,0,1,0,1,0,1,1,0,"Vertical Deviation (Wide)","X",,,,
,,,0,6,0,0,1,0,1,0,1,1,0,"Vertical Deviation (Wide)","X",,,,
"1     2      7",,,0,0,2,0,1,0,1,0,1,1,1,"Selected Landing Altitude","X",,,,
,,,0,1,"B",0,1,0,1,0,1,1,1,"Slat Angle","X",,,,"6-11"
,,,0,3,3,0,1,0,1,0,1,1,1,"P14","X",,,,
,,,1,0,"A",0,1,0,1,0,1,1,1,"Fan Discharge Static Pressure","X",,,,
,,,1,0,"B",0,1,0,1,0,1,1,1,"Fan Discharge Static Pressure","X",,,,
,,,1,"E",2,0,1,0,1,0,1,1,1,"Vertical Alarm Limit","X",,,,"6-50"
"1     3      0",,,0,0,"B",0,1,0,1,1,0,0,0,"Aut Horiz Integ Limit","X",,,,
,,,0,1,"A",0,1,0,1,1,0,0,0,"Fan Inlet Total Temperature","X",,,,
,,,0,1,"C",0,1,0,1,1,0,0,0,"Fan Inlet Total Temperature","X",,,,
,,,0,2,"F",0,1,0,1,1,0,0,0,"Fan Inlet Total Temperature","X",,,,
,,,0,3,5,0,1,0,1,1,0,0,0,"Intruder Range","X",,,,"6-21"
,,,0,3,"F",0,1,0,1,1,0,0,0,"Fan Inlet Total Temperature","X",,,,
,,,1,0,"A",0,1,0,1,1,0,0,0,"Selected Total Air Temperature","X",,,,
,,,1,0,"B",0,1,0,1,1,0,0,0,"Selected Total Air Temperature","X",,,,
,,,1,3,"A",0,1,0,1,1,0,0,0,"Inlet Temperature","X",,,,
"1     3      1",,,0,1,"A",0,1,0,1,1,0,0,1,"Fan Inlet Total Pressure","X",,,,
,,,0,1,"C",0,1,0,1,1,0,0,1,"Fan Inlet Total Pressure","X",,,,
,,,0,2,"D",0,1,0,1,1,0,0,1,"Fan Inlet Total Pressure","X",,,,
,,,0,2,"F",0,1,0,1,1,0,0,1,"Fan Inlet Total Pressure","X",,,,
,,,0,3,3,0,1,0,1,1,0,0,1,"Fan Inlet Total Pressure","X",,,,
,,,0,3,5,0,1,0,1,1,0,0,1,"Intruder Altitude","X",,,,"6-22"
,,,1,3,"A",0,1,0,1,1,0,0,1,"Inlet Pressure","X",,,,
"1     3      2",,,0,1,"A",0,1,0,1,1,0,1,0,"Exhaust Gas Total Pressure","X",,,,
,,,0,1,"C",0,1,0,1,1,0,1,0,"Exhaust Gas Total Pressure","X",,,,
,,,0,3,3,0,1,0,1,1,0,1,0,"Exhaust Gas Total Pressure","X",,,,
,,,0,3,5,0,1,0,1,1,0,1,0,"Intruder Bearing","X",,,,"6-23"
"1     3      3",,,0,0,"B",0,1,0,1,1,0,1,1,"Aut Horiz Integ Limit","X",,,,
,,,0,1,"A",0,1,0,1,1,0,1,1,"Thrust Lever Angle","X",,,,
,,,0,2,"F",0,1,0,1,1,0,1,1,"Thrust Lever Angle","X",,,,
,,,0,3,"F",0,1,0,1,1,0,1,1,"Thrust Lever Angle","X",,,,
,,,1,0,"A",0,1,0,1,1,0,1,1,"Selected Throttle Lever Angle","X",,,,
,,,1,0,"B",0,1,0,1,1,0,1,1,"Selected Throttle Lever Angle","X",,,,
"1     3      4",,,0,1,"C",0,1,0,1,1,1,0,0,"Power Lever Angle","X",,,,
,,,1,0,"A",0,1,0,1,1,1,0,0,"Throttle Lever Angle","X",,,,
,,,1,0,"B",0,1,0,1,1,1,0,0,"Throttle Lever Angle","X",,,,
,,,1,3,"A",0,1,0,1,1,1,0,0,"Throttle Lever Angle","X",,,,
"1     3      5",,,0,1,"C",0,1,0,1,1,1,0,1,"Engine Vibration #1","X",,,,
,,,0,2,9,0,1,0,1,1,1,0,1,"Engine Fan Vibration","X",,,,
,,,0,5,"A",0,1,0,1,1,1,0,1,"ACT 1 Fuel Quantity Display",,"X",,,
"1     3      6",,,0,0,"B",0,1,0,1,1,1,1,0,"Vertical Figure of Merit","X",,,,
,,,0,1,"C",0,1,0,1,1,1,1,0,"Engine Vibration #2","X",,,,
,,,0,2,9,0,1,0,1,1,1,1,0,"Engine Turbine Vibration","X",,,,
,,,0,5,"A",0,1,0,1,1,1,1,0,"ACT 2 Fuel Quantity Display",,"X",,,
"1     3      7",,,0,1,"B",0,1,0,1,1,1,1,1,"Flap Angle","X",,,,"6-11"
,,,0,2,"A",0,1,0,1,1,1,1,1,"Flap Angle","X",,,,"6-11"
,,,0,2,"F",0,1,0,1,1,1,1,1,"Thrust Reverser Position Feedback","X",,,,
,,,0,3,"F",0,1,0,1,1,1,1,1,"Thrust Reverser Position Feedback","X",,,,
,,,0,5,"A",0,1,0,1,1,1,1,1,"Center+ACT1+ACT2 FQ Display",,"X",,,
,,,1,0,"A",0,1,0,1,1,1,1,1,"Selected Thrust Reverser Position","X",,,,
,,,1,0,"B",0,1,0,1,1,1,1,1,"Selected Thrust Reverser Position","X",,,,
,,,1,4,0,0,1,0,1,1,1,1,1,"Flap Angle","X",,,,"6-11"
"1     4      0",,,0,0,1,0,1,1,0,0,0,0,0,"Flight Director - Roll","X",,,,"6-27"
,,,0,0,"B",0,1,1,0,0,0,0,0,"UTC Fine","X",,,,
,,,0,2,5,0,1,1,0,0,0,0,0,"Flight Director - Roll","X",,,,
,,,0,2,9,0,1,1,0,0,0,0,0,"Precooler Output Temperature","X",,,,
,,,0,5,"A",0,1,1,0,0,0,0,0,"Actual Fuel Quantity Display",,"X",,,
,,,1,1,4,0,1,1,0,0,0,0,0,"Pump Contactor States",,,"X",,
"1     4      1",,,0,0,1,0,1,1,0,0,0,0,1,"Flight Director - Pitch","X",,,,"6-27"
,,,0,0,"B",0,1,1,0,0,0,0,1,"UTC Fine Fractions","X",,,,
,,,0,2,5,0,1,1,0,0,0,0,1,"Flight Director - Pitch","X",,,,
,,,0,2,9,0,1,1,0,0,0,0,1,"Precooler Input Temperature","X",,,,
,,,0,5,"A",0,1,1,0,0,0,0,1,"Preselected Fuel Quantity Display",,"X",,,
,,,1,1,4,0,1,1,0,0,0,0,1,"Pump Contactor and Pushbutton States",,,"X",,
"1     4      2",,,0,0,2,0,1,1,0,0,0,1,0,"Flight Director - Fast/Slow","X",,,,"6-27"
,,,0,0,3,0,1,1,0,0,0,1,0,"Flight Director - Fast/Slow","X",,,,
,,,0,0,"B",0,1,1,0,0,0,1,0,"UTC Fine Fractions","X",,,,
,,,0,2,5,0,1,1,0,0,0,1,0,"Flight Director - Fast/Slow","X",,,,
,,,0,5,"A",0,1,1,0,0,0,1,0,"Left Wing Fuel Quantity Display",,"X",,,
,,,1,1,4,0,1,1,0,0,0,1,0,"Pump Push Button and LP Switch State",,,"X",,
"1     4      3",,,0,0,1,0,1,1,0,0,0,1,1,"Flight Director - Yaw","X",,,,
,,,0,4,1,0,1,1,0,0,0,1,1,"HPA Command Word","X",,,,
,,,0,5,"A",0,1,1,0,0,0,1,1,"Center Wing Fuel Quantity Display",,"X",,,
,,,1,1,4,0,1,1,0,0,0,1,1,"Pump LP Switch State and FCMC Commands",,,"X",,
,,,2,4,1,0,1,1,0,0,0,1,1,"HPA Response Word","X",,,,
"1     4      4",,,0,2,"B",0,1,1,0,0,1,0,0,"Altitude Error","X",,,,
,,,0,4,1,0,1,1,0,0,1,0,0,"ACU/BSU Contorl Word","X",,,,
,,,0,5,"A",0,1,1,0,0,1,0,0,"Right Wing Fuel Quantity Display",,"X",,,
,,,1,1,4,0,1,1,0,0,1,0,0,"Valve Feedback",,,"X",,
,,,3,4,1,0,1,1,0,0,1,0,0,"ACU/BSU Contorl Word","X",,,,
"1     4      5",,,0,0,2,0,1,1,0,0,1,0,1,"TACAN Control","X",,,,"6-30"
,,,0,2,5,0,1,1,0,0,1,0,1,"Discrete Status 2 EFIS",,,"X",,
,,,0,2,9,0,1,1,0,0,1,0,1,"Discrete Status 2 EFIS",,,"X",,
,,,0,"A",1,0,1,1,0,0,1,0,1,"AFS DFDR Discretes #1",,,"X",,
,,,1,1,4,0,1,1,0,0,1,0,1,"Valve Feedback",,,"X",,
"1     4      6",,,0,2,5,0,1,1,0,0,1,1,0,"Discrete Status 3 EFIS",,,"X",,
,,,0,2,9,0,1,1,0,0,1,1,0,"Discrete Data #9",,,"X",,
,,,0,"A",1,0,1,1,0,0,1,1,0,"AFS DFDR Discretes #2",,,"X",,
,,,1,1,2,0,1,1,0,0,1,1,0,"TACAN Control","X",,,,"6-47"
,,,1,1,4,0,1,1,0,0,1,1,0,"Valve Feedback",,,"X",,
"1     4      7",,,0,2,5,0,1,1,0,0,1,1,1,"Discrete Status 4 EFIS",,,"X",,
,,,0,2,9,0,1,1,0,0,1,1,1,"Discrete Data #10",,,"X",,
,,,0,"A",1,0,1,1,0,0,1,1,1,"AFS DFDR Discretes #3",,,"X",,
,,,1,1,4,0,1,1,0,0,1,1,1,"Valve Feedback",,,"X",,
,,,1,1,5,0,1,1,0,0,1,1,1,"TACAN Control Word","X",,,,"6-48/Note 1"
"1     5      0",,,0,0,2,0,1,1,0,1,0,0,0,"Universal Time Constant (UTC)","X",,,,"6-12/6-27"
,,,0,0,"B",0,1,1,0,1,0,0,0,"Universal Time Constant (UTC)","X",,,,
,,,0,2,9,0,1,1,0,1,0,0,0,"Cabin Altitude Rate","X",,,,
,,,0,3,1,0,1,1,0,1,0,0,0,"Universal Time Constant (UTC)","X",,,,"6-12/6-27"
,,,0,5,6,0,1,1,0,1,0,0,0,"Universal Time Coordinate","X",,,,
,,,0,6,0,0,1,1,0,1,0,0,0,"Universal Time Coordinate","X",,,,
,,,1,1,4,0,1,1,0,1,0,0,0,"FCMC Valve Commands",,,"X",,
"1     5      1",,,0,0,2,0,1,1,0,1,0,0,1,"Localizer Bearing (True)","X",,,,
,,,0,2,7,0,1,1,0,1,0,0,1,"MLS Azimuth Deviation","X",,,,
,,,0,2,9,0,1,1,0,1,0,0,1,"Cabin Altitude ","X",,,,
,,,0,5,5,0,1,1,0,1,0,0,1,"MLS Azimuth Deviation","X",,,,
,,,0,5,6,0,1,1,0,1,0,0,1,"Localizer Bearing (True)","X",,,,
,,,0,5,"A",0,1,1,0,1,0,0,1,"LB/KG Control Word",,,"X",,
,,,0,6,0,0,1,1,0,1,0,0,1,"Localizer Bearing (True)","X",,,,
,,,1,1,4,0,1,1,0,1,0,0,1,"FCMC Valve Commands",,,"X",,
"1     5      2",,,0,2,7,0,1,1,0,1,0,1,0,"MLS Elevation Deviation","X",,,,
,,,0,2,9,0,1,1,0,1,0,1,0,"Cabin Pressure","X",,,,
,,,0,3,8,0,1,1,0,1,0,1,0,"Cabin Pressure","X",,,,
,,,0,4,1,0,1,1,0,1,0,1,0,"Open Loop Steering","X",,,,
,,,0,5,5,0,1,1,0,1,0,1,0,"MLS GP Deviation","X",,,,
,,,0,"A","D",0,1,1,0,1,0,1,0,"Cabin Pressure","X",,,,
,,,1,1,4,0,1,1,0,1,0,1,0,"Overhead Panel Switch/Pushbutton & Refuel Panel Battery Power Supply Switch States",,,"X",,
,,,,,,0,1,1,0,1,0,1,0,"777 Cabin Interphone System - System Address Label",,,,"X","See Attachment 11"
"1     5      3",,,0,0,2,0,1,1,0,1,0,1,1,"Maximum Altitude","X",,,,
,,,0,2,7,0,1,1,0,1,0,1,1,"Flare","X",,,,
,,,0,2,9,0,1,1,0,1,0,1,1,"Pressurization Valve Position (Gr. #1)","X",,,,
,,,0,4,1,0,1,1,0,1,0,1,1,"Closed Loop Steering","X",,,,
,,,0,5,5,0,1,1,0,1,0,1,1,"MLS Selected Azimuth","X",,,,
,,,1,1,4,0,1,1,0,1,0,1,1,"Level States",,,"X",,
"1     5      4",,,0,0,2,0,1,1,0,1,1,0,0,"Runway Heading (True)","X",,,,
,,,0,2,7,0,1,1,0,1,1,0,0,"MLS Auxilliary Data","X",,,,
,,,0,2,9,0,1,1,0,1,1,0,0,"Pressurization Valve Position (Gr. #2)","X",,,,
,,,0,5,5,0,1,1,0,1,1,0,0,"MLS Max Selectable GP","X",,,,
,,,0,5,6,0,1,1,0,1,1,0,0,"Runway Heading (True)","X",,,,
,,,0,6,0,0,1,1,0,1,1,0,0,"Runway Heading (True)","X",,,,
,,,1,1,4,0,1,1,0,1,1,0,0,"Level States and Low Warning and Transfer Indications",,,"X",,
"1     5      5",,,0,1,"C",0,1,1,0,1,1,0,1,"Maintenance Data #6",,,"X",,
,,,0,2,5,0,1,1,0,1,1,0,1,"Discrete Status 5 EFIS",,,"X",,
,,,0,2,7,0,1,1,0,1,1,0,1,"MLS Selected GP Angle",,"X",,,
,,,0,2,9,0,1,1,0,1,1,0,1,"Discrete #1",,,"X",,
,,,0,3,3,0,1,1,0,1,1,0,1,"Maintenance Data #6",,,"X",,
,,,0,5,5,0,1,1,0,1,1,0,1,"MLS Selected Glide Path","X",,,,
,,,0,5,"A",0,1,1,0,1,1,0,1,"FQIC",,,"X",,
,,,0,"B","B",0,1,1,0,1,1,0,1,"Maintenance Data #6",,,"X",,
,,,1,0,"A",0,1,1,0,1,1,0,1,"Maintenance Data #6",,,"X",,
,,,1,0,"B",0,1,1,0,1,1,0,1,"Maintenance Data #6",,,"X",,
,,,1,1,4,0,1,1,0,1,1,0,1,"XFR Pump Faults & Wing Imbalance Warning",,,"X",,
"1     5      6",,,0,1,"C",0,1,1,0,1,1,1,0,"Maintnance Data #7",,,"X",,
,,,0,2,7,0,1,1,0,1,1,1,0,"MLS Dataword 1","X",,,,
,,,0,2,9,0,1,1,0,1,1,1,0,"Discrete #12",,,"X",,
,,,0,3,3,0,1,1,0,1,1,1,0,"Maintenance Data #7",,,"X",,
,,,0,4,"D",0,1,1,0,1,1,1,0,"L Tank Faults",,,"X",,
,,,0,5,5,0,1,1,0,1,1,1,0,"MLS Basic Data Wd 1","X",,,,
,,,0,"B","B",0,1,1,0,1,1,1,0,"Maintenance Data #7",,,"X",,
,,,1,0,"A",0,1,1,0,1,1,1,0,"Maintenance Data #7",,,"X",,
,,,1,0,"B",0,1,1,0,1,1,1,0,"Maintenance Data #7",,,"X",,
,,,1,1,4,0,1,1,0,1,1,1,0,"Refuel Panel Switch States",,,"X",,
,,,,,,0,1,1,0,1,1,1,0,"CVR #2 - System Address Label",,,,"X","See Attachment 11"
"1     5     7",,,0,1,"C",0,1,1,0,1,1,1,1,"Maintenance Data #8","X",,,,
,,,0,2,7,0,1,1,0,1,1,1,1,"MLS Dataword 2",,,"X",,
,,,0,3,3,0,1,1,0,1,1,1,1,"Maintenance Data #8",,,"X",,
,,,0,4,"D",0,1,1,0,1,1,1,1,"R Tank Faults",,,"X",,
,,,0,5,5,0,1,1,0,1,1,1,1,"MLS Basic Data Wd 2","X",,,,
,,,0,"B","B",0,1,1,0,1,1,1,1,"Maintenance Data #8",,,"X",,
,,,1,0,"A",0,1,1,0,1,1,1,1,"Maintenance Data #8",,,"X",,
,,,1,0,"B",0,1,1,0,1,1,1,1,"Maintenance Data #8",,,"X",,
,,,1,1,4,0,1,1,0,1,1,1,1,"Trim Tank Probe Capacitance",,"X",,,
,,,,,,0,1,1,0,1,1,1,1,"CVR #1 - System Address Label ",,,,"X","See Attachment 11"
"1     6      0",,,0,1,"C",0,1,1,1,0,0,0,0,"Maintenance Data #9",,,"X",,
,,,0,2,5,0,1,1,1,0,0,0,0,"Discrete Status 6 EFIS",,,"X",,
,,,0,2,7,0,1,1,1,0,0,0,0,"MLS Dataword 3","X",,,,
,,,0,3,3,0,1,1,1,0,0,0,0,"Maintenance Data #9",,,"X",,
,,,0,4,"D",0,1,1,1,0,0,0,0,"C Tank Faults",,,"X",,
,,,0,5,5,0,1,1,1,0,0,0,0,"MLS Basic Data Wd 3","X",,,,
,,,0,"B","B",0,1,1,1,0,0,0,0,"Maintenance Data #9",,,"X",,
,,,1,0,"A",0,1,1,1,0,0,0,0,"Maintenance Data #9",,,"X",,
,,,1,0,"B",0,1,1,1,0,0,0,0,"Maintenance Data #9",,,"X",,
,,,1,1,4,0,1,1,1,0,0,0,0,"Valve Feedback",,,"X",,
"1     6      1",,,0,1,"C",0,1,1,1,0,0,0,1,"Maintenance Data #10",,,"X",,
,,,0,2,5,0,1,1,1,0,0,0,1,"Discrete Status 7 EFIS",,,"X",,
,,,0,2,7,0,1,1,1,0,0,0,1,"MLS Dataword 4",,,"X",,
,,,0,3,3,0,1,1,1,0,0,0,1,"Maintenance Data #10",,,"X",,
,,,0,4,"D",0,1,1,1,0,0,0,1,"A Tank Faults",,,"X",,
,,,0,5,5,0,1,1,1,0,0,0,1,"MLS Basic Data Wd 4","X",,,,
,,,1,0,"A",0,1,1,1,0,0,0,1,"Maintenance Data #10",,,"X",,
,,,1,0,"B",0,1,1,1,0,0,0,1,"Maintenance Data #10",,,"X",,
,,,1,1,4,0,1,1,1,0,0,0,1,"Indicated Pump Status",,,"X",,
"1     6      2",,,0,1,2,0,1,1,1,0,0,1,0,"ADF Bearing","X",,,,
,,,0,2,5,0,1,1,1,0,0,1,0,"ADF Bearing Left/Right","X",,,,
,,,0,2,7,0,1,1,1,0,0,1,0,"MLS Dataword 5","X",,,,
,,,0,2,9,0,1,1,1,0,0,1,0,"Crew Oxygen Pressure","X",,,,
,,,0,5,5,0,1,1,1,0,0,1,0,"MLS Basic Data Wd 5","X",,,,
,,,0,"D","E",0,1,1,1,0,0,1,0,"Stick Shaker Margin Proportional Signal","X",,,,
,,,1,1,4,0,1,1,1,0,0,1,0,"Indicated Pump Status",,,"X",,
,,,1,4,0,0,1,1,1,0,0,1,0,"Density Altitude","X",,,,
"1     6      3",,,0,2,7,0,1,1,1,0,0,1,1,"MLS Dataword 6","X",,,,
,,,0,3,7,0,1,1,1,0,0,1,1,"Zero Fuel Weight (lb)",,"X",,,
,,,0,5,5,0,1,1,1,0,0,1,1,"MLS Basic Data Wd 6","X",,,,
,,,1,1,4,0,1,1,1,0,0,1,1,"Indicated Pump Status",,,"X",,
