"Label","Eqpt ID(Hex)","Parameter Name","Units","Range(Scale)","Sig Bits","Pos Sense","Resolution","Min Transit Interval(msec) 2","Max Transit Interval(msec) 2","Max Trans-port Delay(msec) 3","Notes & Cross Ref. to Tables and Attachments"
"1 4 5","0 0 2","TACAN Control","See Sec. 3.1.4",,,,,180,220,,06/30/13
,,,,,,,,,,,
"1 4 6","1 1 2","TACAN Control","See Sec. 3.1.4",,,,,180,220,,
,,,,,,,,,,,
"1 4 7","X X X","TACAN Control Word",,,,,,100,200,,
,,,,,,,,,,,
"1 5 0","0 0 2","Universal Time Coordinate ","         ",,,,,,,,06/12/13
,"0 0 B","UTC","Hr:Min:S","?23:59:59",17,,"1.0sec",200,1200,,
,"0 3 1","Universal Time Coordinate ","         ",,,,,100,200,,06/12/13
,"0 5 6","Universal Time Coordinate ",,,,,,,,,06/12/13
,"0 6 0","Universal Time Coordinate ",,,,,,,,,06/12/13
,,,,,,,,,,,
"1 5 1","0 0 2","Localizer Bearing (True)               ","Deg/180  ","?180",11,,0.1,167,333,,
,"0 2 7","MLS Azimuth Deviation                  ","         ",,,,,,,,
,"0 5 5","MLS AZ Deviation","mV"," ?  2400",15,,0.0732,,,,
,"0 5 6","Localizer Bearing (True)","Deg/180  ","?180",11,,0.1,167,333,,
,"0 6 0","Localizer Bearing (True)","Deg/180  ","?180",11,,0.1,167,333,,
,,,,,,,,,,,
"1 5 2","0 2 7","MLS Elevation Deviation                ","         ",,,,,,,,
,"0 3 8","Cabin Pressure","mB",2048,16,,0.03125,62.5,125,,
,"0 4 1","Open Loop Steering                     ","         ",,,,,,,,"See ARINC 741"
,"0 5 5","MLS GP Deviation","mV"," ?  2400",15,,0.0732,,,,
,"0 A D","Cabin Pressure","mB",2048,18,,0.008,20,200,,
"

",,,,,,,,,,,
"1 5 3","0 0 2","Maximum Altitude                       ","Feet     ",65536,16,"Above S.L.",1,500,1000,100,
,"0 4 1","Closed Loop Steering                   ","         ",,,,,,,,"See ARINC 741"
,"0 5 5","MLS Selected Azimuth","Deg","0-359",9,,1,,,,
,,,,,,,,,,,
"1 5 4","0 0 2","Runway Heading (True)                  ","N.M.     ",512,16,,0.008,83.3,167,,
,"0 2 7","MLS Auxiliary Data                     ","         ",,,,,,,,
,"0 5 5","MLS Max Selectable GP","Deg"," ?  51.1",9,,1,,,,
,"0 5 6","Runway Heading (True)","N.M.     ",512,16,,0.008,83.3,167,,
,"0 6 0","Runway Heading (True)","N.M.     ",512,16,,0.008,83.3,167,,
,,,,,,,,,,,
"1 5 5","0 5 5","MLS Selected Glide Path","Deg"," ?  51.1",9,,0.01,,,,
,,,,,,,,,,,
"1 6 2","0 1 2","ADF Bearing                            ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 2 5","ADF brg left/right","Deg/180","?180",12,,0.05,125,250,,"SDI-01=left/SDI-10=right"
,"0 2 9","Crew Oxygen Pressure                   ","PSI      ",4096,12,,1,100,200,,
,"0 5 5","MLS Basic Data Word 5","N/A","N/A","N/A",,"N/A",,,,
,"1 4 0","Density Altitude","Feet",1131072,16,,2,250,500,,
,,,,,,,,,,,
"1 6 4","0 0 2","Minimum Descent Altitude (MDA)         ","Feet     ",8192,16,,0.125,500,1000,,
,"0 0 3","Target Height                          ","Feet     ",8192,16,,0.125,500,1000,,
,"0 0 7","Radio Height                           ","Feet     ",8192,16,,0.125,25,50,,"6-13/6-27"
,"0 2 5","Radio Height                           ","Feet     ",8192,12,,2,125,250,,
,"0 3 B","Radio Height                           ","VDC      ",32,11,,0.015,150,250,,"Per ARINC 522A"
,"0 5 5","MLS ABS GP Angle","Deg"," ?  41",15,,0.00125,,,,
,,,,,,,,,,,
"1 6 5","0 0 B","Vertical Velocity","Feet/Min"," ?  32768",15,,1,200,1200,,
,"0 5 5","MLS ABS Azimuth Angle","Deg"," ?  82",16,,0.00125,,,,
,,,,,,,,,,,
"1 6 6","0 0 7","RALT Check Point Dev                   ","Feet     ",512,10,,0.5,"*","*",,
,"0 0 B","North/South Velocity","Knots"," ?  4096",15,,0.125,200,,,
,,,,,,,,,,,
"1 6 7","0 0 2","EPU Estimate Position Uncertainty (ANP) Actual Navigation Perf.","N.M.","0-128",16,,0.00195,,,,
,,,,,,,,,,,
"1 7 1","0 0 2","Required Navigation Performance (RNP)","N.M.","0-128",16,,0.001953,,,,
,"0 A 5","Vertical Alarm Limit (VAL) and SBAS System Identifier","Meters",256,8,,1,,200,,
,"X X X","Manu. Specific Status Word",,,,,,,,,"See Attachment 10"
,,,,,,,,,,,
"1 7 3","0 1 0","Localizer Deviation                    ","DDM      ",0.4,12,,0.0001,33.3,66.6,,"6-6/6-27"
,"0 2 5","Localizer Deviation                    ","DDM      ",0.4,10,,0.0004,125,250,,
,"0 2 9","Hydraulic Quantity                     ","%        ",128,7,,1,100,200,,
,"0 3 B","Localizer Deviation                    ","Dots     ",4,11,,0.002,150,250,,
,"0 5 5","Localizer Deviation","DDM"," ?  0.4",12,,0.0001,,,,
,"0 B D","Hydraulic Quantity                     ","%        ",128,7,,1,500,1000,,
,"0 D 0","Hydraulic Oil Quantity","US Pint",128,9,,0.25,,,,"SDI 1= A/SDI 2= B"
,,,,,,,,,,,
"1 7 4","0 0 3","Delayed Flap Approach Speed (DFA)","Knots    ",512,11,,0.25,100,200,,
,"0 0 B","East/West Velocity","Knots"," ?  4096",15,,0.125,200,1200,,
,"0 1 0","Glideslope Deviation                   ","DDM      ",0.8,12,,0.0002,33.3,66.6,,"6-6/6-27"
,"0 2 9","Hydraulic Pressure                     ","PSI      ",4096,12,,1,100,200,,
,"0 3 B","Glideslope Deviation                   ","Dots     ",4,11,,0.0002,150,250,,"6-6/6-27"
,"0 5 5","Glide Slope Deviation","DDM"," ?  0.8",12,,0.0002,,,,
,"0 D 0","Hydraulic Oil Pressure","PSI",4096,12,,1,,,,"SDI 1= A/SDI 2= B"
,,,,,,,,,,,
"1 7 5","0 0 3","Economical Speed                       ","Knots    ",1024,14,,0.06,62.5,125,,
,"0 2 9","EGT (APU)                              ","Deg C    ",2048,11,,1,100,200,,
,"0 3 3","Hydraulic Pump Case Drain Temp         ","Deg C    ",256,12,,0.06,100,200,,
,,,,,,,,,,,
"1 7 6","0 0 3","Economical Mach                        ","Mach    ",4096,13,,0.5,62.5,125,,
,"0 2 9","RPM (APU)                              ","% RPM     ",256,9,,0.5,100,200,,
,"0 3 8","Left Static Pressure Uncorrected, mb                   ","mb       ",2048,18,,0.008,20,200,,
,"0 5 A","Fuel Temperature - Set to Zero","Deg. C",512,11,,0.25,100,200,,
,"0 A D","Static Pressure Left, Uncorrected, mb                   ","mb       ",2048,18,,0.008,20,200,,
,"1 1 4","Left Outer Tank Fuel Temp & Advisory Warning","Deg"," ?  512",11,,0.25,,,,
,,,,,,,,,,,
"1 7 7","0 0 3","Economical Flight Level                ","Feet     ",131072,17,,1,31.3,62.5,,
,"0 2 9","Oil Quantity (APU)                     ","US Pint  ",128,9,,0.25,100,200,,
,"0 3 8","Right Static Pressure, Uncorrected, mb                  ","mb       ",2048,18,,0.008,20,200,,
,"0 5 5","Distance to LTP/FTP","Nmiles"," ?  512",16,,0.007812,,,,
,"0 5 A","Fuel Temp. Left Wing Tank","Deg C",512,11,,0.25,100,200,,
,"0 A D","Static Pressure Right, Uncorrected, mb                ","mb       ",2048,18,,0.008,20,200,,
,"1 1 4","Inner Tank 1 Fuel Temp & Advisory Warning","Deg C"," ?  512",11,,0.25,,,,
,,,,,,,,,,,
"2 0 0","1 1 4","Inner Tank 2 Fuel Temp & Advisory Warning","Deg C"," ?  512",11,,0.25,,,,
,,,,,,,,,,,
"2 0 1","0 5 A","Fuel Temp. Right Wing Tank","Deg C    ",512,11,,0.25,100,200,,
,"1 1 4","Inner Tank 3 Fuel Temp & Advisory Warning","Deg C"," ?  512",11,,0.25,,,,
,"1 4 0","Mach Maximum Operation (Mmo)","Mach",4.096,12,,0.001,62.5,125,,
,"1 4 2","Projected Future Latitude","Deg"," ?  180",20,,0.000172,150,400,,
,,,,,,,,,,,
"2 0 2","0 0 2","Energy Management (clean)              ","N.M.     ",512,15,,0.016,100,200,,
,"0 0 9","DME Distance                           ","N.M.     ",512,16,,0.008,83.3,167,,"6-7/6-27"
,"0 5 A","Fuel Temperature - Set to Zero","Deg C",512,11,,0.25,100,200,,
,"1 1 4","Inner Tank 4 Fuel Temp & Advisory Warning","Deg C"," ?  512",11,,0.025,,,,
,"1 4 0","Mach Rate","M/minute",4.096,12,,0.001,62.5,125,,
,"1 4 2","Projected Future Latitude Fine","Deg",0.000172,11,,"2.E-32",150,400,,
,,,,,,,,,,,
"2 0 3","0 0 2","Energy Management Speed Brakes         ","N.M.     ",512,15,,0.016,100,200,,
,"0 0 6","Altitude (1013.25 mb)                  ","Feet     ",131072,17,,1,31.3,62.5,,"6-24/6-27"
,"0 1 8","Altitude                               ","Feet     ",131072,17,,1,20,40,,
,"0 3 5","Own A/C Altitude                       ","Feet     ",131072,17,,1,20,500,,
,"0 3 8","Altitude (1013.25 mb)                  ","Feet     ",131072,17,,1,31.3,62.5,,
,"0 5 A","Fuel Tank #6 Temperature               ","Deg C    ",512,11,,0.25,100,200,,
,"1 0 A","Ambient Static Pressure                ","PSIA     ","1.5 to 20.0",11,,0.016,500,1000,,
,"1 0 B","Ambient Static Pressure                ","PSIA     ","1.5 to 20.0",11,,0.016,500,1000,,
,"1 1 4","Trim Tank Fuel Temp & Advisory Warning","Deg C"," ?  512",11,,0.25,,,,
,"1 4 0","Altitude","Feet",131072,17,,1,31.25,62.5,,
,,,,,,,,,,,
"2 0 4","0 0 2","Utility Airspeed                       ","Knots    ",512,11,,0.25,500,1000,50,
,"0 0 6","Baro Corrected Altitude #1             ","Feet     ",131072,17,,1,31.3,62.5,,
,"0 3 8","Baro Corrected Altitude #1             ","Feet     ",131072,17,,1,31.3,62.5,,
,"0 5 6","Baro Altitude","Knots    ",512,11,,0.25,500,1000,50,
,"0 5 A","Fuel Tank #7 Temperature               ","Deg C    ",512,11,,0.25,100,200,,
,"0 6 0","Baro Altitude","Knots    ",512,11,,0.25,500,1000,50,
,"1 1 4","Right Outer Tank Fuel Temp & Advisory Warning","Deg C"," ?  512",11,,0.25,,,,
,"1 4 0","Baro Corrected Altitude","Feet",131072,17,,1,31.25,62.5,,
,,,,,,,,,,,
"2 0 5","0 0 6","Mach                                   ","Mach     ",4.096,16,,0.0000625,62.5,125,,06/27/13
,"0 1 A","Mach                                   ","Mach     ",4.096,16,,0.0000625,62.5,125,,06/27/13
,"0 3 8","Mach                                   ","Mach     ",4.096,16,,0.0000625,62.5,125,,06/27/13
,"0 5 A","Fuel Tank #8 Temperature               ","Deg C    ",512,11,,0.25,100,200,,
,"1 0 A","Mach Number                            ","Mach     ",1,11,,0.002,100,500,,
,"1 0 B","Mach Number                            ","Mach     ",1,11,,0.002,100,500,,
,"1 4 0","Mach","Mach",4.096,16,,0.00000625,62.5,125,,
,,"
",,,,,,,,,
"2 0 6","0 0 6","Computed Airspeed                      ","Knots    ",1024,14,,0.0625,62.5,125,,06/27/13
,"0 1 8","Altitude (Variable Resolution)         ","Feet     ","Variable",15,,"Variable",31.3,62.5,,06/20/13
,"0 3 8","Computed Airspeed                      ","Knots    ",1024,14,,0.0625,62.5,125,,
,"0 C C","Taxi Speed                             ","Knots    ",512,11,,0.25,50,100,,
,"1 4 0","Computed Airspeed (CAS)","Knots",1024,14,,0.0625,62.5,125,,
,,,,,,,,,,,
"2 0 7","0 0 6","Maximum Allowable Airspeed             ","Knots    ",1024,12,,0.25,62.5,125,,
,"0 0 A","Maximum Allowable Airspeed             ","Knots    ",512,11,,0.25,100,200,,
,"0 3 8","Maximum Allowable Airspeed             ","Knots    ",1024,12,,0.25,62.5,125,,
,"1 4 0","Airspeed Maximum Operating (VMO)","Knots",1024,12,,0.25,62.56,125,,
,,,,,,,,,,,
"2 1 0","0 0 6","True Airspeed                          ","Knots    ",2048,15,,0.0625,62.5,125,,06/27/13
,"0 3 8","True Airspeed                          ","Knots    ",2048,15,,0.0625,62.5,125,,
,"1 4 0","True Airspeed","Knots",2048,15,,0.0625,62.5,125,,
,,,,,,,,,,,
"2 1 1","0 0 2","Total Air Temperature                  ","Deg C       ",512,11,,0.25,250,500,,06/27/13
,"0 0 3","Total Air Temperature                  ","Deg C    ",512,11,,0.25,250,500,,
,"0 0 6","Total Air Temperature                  ","Deg C    ",512,11,,0.25,250,500,,
,"0 1 A","Total Air Temperature                  ","Deg C    ",512,11,,0.25,250,500,,
,"0 3 8","Total Air Temperature                  ","Deg C    ",512,11,,0.25,250,500,,
,"0 A D","Total Air Temperature Indicated","Deg C",512,12,,0.125,250,500,,
,"1 0 A","Total Fan Inlet Temperature            ","Deg C    ","-80 to 90",10,,0.125,500,1000,,
,"1 0 B","Total Fan Inlet Temperature            ","Deg C    ","-80 to 90",10,,0.125,500,1000,,
,"1 4 0","Total Air Temperature (TAT)","Deg C",512,12,,0.125,250,500,,
,"1 4 2","Projected Future Longitude","Deg"," ?  180",20,,0.000172,250,500,,
,,,,,,,,,,,
"2 1 2","0 0 4","Altitude Rate                          ","Ft/Min   ",32768,11,,16,31.3,62.5,,06/27/13
,"0 0 5","Altitude Rate                          ","Ft/Min   ",32768,11,,16,31.3,62.5,,
,"0 0 6","Altitude Rate                          ","Ft/Min   ",32768,11,,16,31.3,62.5,,
,"0 3 8","Altitude Rate                          ","Ft/Min   ",32768,11,,16,31.3,62.5,,
,"0 3 B","Altitude Rate                          ","Ft/Min   ",32768,11,,16,150,250,,
,"1 4 0","Altitude Rate","Ft/Min",32768,11,,16,31.25,62.5,,
,"1 4 2","Projected Future Longitude Fine","Deg",0.000172,11,,"2E-32 Cir",150,400,,
,,,,,,,,,,,
"2 1 3","0 0 2","Static Air Temperature                 ","Deg C   ",512,11,,0.25,250,500,,06/27/13
,"0 0 6","Static Air Temperature                 ","Deg C    ",512,11,,0.25,250,500,,
,"0 3 8","Static Air Temperature                 ","Deg C    ",512,11,,0.25,250,500,,
,"0 8 D","Fuel Used                              ","Lbs.     ",262144,18,,1,75,125,,
,"1 4 0","Static Air Temperature (SAT)","Deg C   ",512,11,,0.25,250,500,,
,"1 4 2","Vertical Time Interval","Minute","265 min",10,,"0.25 min",500,2000,,
,,,,,,,,,,,
,,,,,,,,,,,
"2 1 5","0 0 6","Impacted Pressure","mb       ",512,14,,0.03125,62.5,125,,
,"0 1 A","Impact Pressure                        ","mb       ",512,14,,0.03125,62.5,125,,
,"0 2 9","N1 Actual (EEC)                        ","% RPM    ",256,14,,0.015,50,100,,
,"0 2 9","EPR Actual (EEC)                       ","         ",4,12,,0.001,50,100,,
,"0 3 8","Impacted Pressure, Uncorrected, mb                        ","mb       ",512,14,,0.03125,62.5,125,,
,"0 A D","Impacted Pressure, Uncorrected, mb                 ","mb       ",512,16,,0.008,20,40,,
,"1 4 0","Impact Pressure Subsonic","mb       ",512,14,,0.03125,62.5,125,,
,,,,,,,,,,,
,,,,,,,,,,,
"2 1 7","0 0 2","Geometric Vertical Rate","Ft/Min",20000,11,,16,,,,
,"0 0 6","Static Pressure, Corrected (In.Hg.)                       ","in. Hg   ",64,16,,0.001,62.5,125,,
,"0 2 9","N1 Limit (EEC)                         ","% RPM     ",256,14,,0.015,100,200,,
,"0 2 9","EPR Limit (EEC)                        ","         ",4,12,,0.001,100,200,,
,"0 3 8","Static Pressure, Average, Corrected (In. Hg.)                        ","in. Hg   ",64,16,,0.001,62.5,125,,
,"1 4 0","Static Pressure Corrected (In. Hg.)","in. Hg   ",64,16,,0.001,62.5,125,,
,,,,,,,,,,,
"2 2 0","0 0 6","Baro Corrected Altitude #2             ","Feet     ",131072,17,,1,31.3,62.5,,
,"0 3 8","Baro Corrected Altitude #2             ","Feet     ",131072,17,,1,31.3,62.5,,
,"1 4 0","Baro Corrected Altitude #2","Feet",131072,17,,1,31.25,62.5,,
,,,,,,,,,,,
"2 2 1","0 0 6","Indicated Angle of Attack (Avg)    ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 3 8","Indicated Angle of Attack (Average)    ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 A D","Indicated Angle of Attack              ","Deg/180  ","?180",14,,0.01,31.3,200,,
,"1 2 C","Indicated Angle of Attack (Avg.)","Deg/180","?180",12,,0.05,31.3,62.5,,
,"1 4 0","Angle of Attack Indicated Average","Deg","?180",12,,0.05,31.25,62.5,,
,,,,,,,,,,,
"2 2 2","0 0 6","Indicated Angle of Attack (#1 Left)    ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 1 1","VOR Omnibearing                        ","Deg/180  ","?180",12,,0.05,50,100,,
,"1 1 2","TACAN Bearing","Deg/180","?180",12,,0.05,180,220,,
,"1 1 5","Bearing                                ","Deg/180  ","?180",11,,0.1,50,50,,
,"1 2 C","Indicated Angle of Attack (#1 Left)","Deg/180","?180",12,,0.05,31.3,62.5,,
,"1 4 0","Angle of Attack, Indicated #1 Left","Deg","?180",12,,0.05,31.5,62.5,,
,,,,,,,,,,,
"2 2 3","0 0 6","Indicated Angle of Attack (#1 Right)   ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"1 2 C","Indicated Angle of Attack (#1 Right)","Deg/180","?180",12,,0.05,31.3,62.5,,
,"1 4 0","Angle of Attack, Indicated #1 Right","Deg","?180",12,,0.05,31.5,62.5,,
,,,,,,,,,,,
"2 2 4","0 0 6","Indicated Angle of Attack (#2 Left)    ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"1 2 C","Indicated Angle of Attack (#2 Left)","Deg/180","?180",12,,0.05,31.3,62.5,,
,"1 4 0","Angle of Attack, Indicated #2 Left","Deg","?180",12,,0.05,31.5,62.5,,
,,,,,,,,,,,
"2 2 5","0 0 2","Minimum Maneuvering Airspeed               ","Knots    ",512,11,,0.25,500,1000,50,
,"0 0 6","Indicated Angle of Attack (#2 Right)   ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 2 B","Compensated Altitude Rate              ","Ft/Min   ",32768,11,"Increas-ing alt",16,31.3,62.5,,
,"0 5 6","Minimum Maneuvering Air Speed","Knots    ",512,11,,0.25,500,1000,,
,"0 6 0","Minimum Maneuvering Air Speed","Knots    ",512,11,,0.25,500,1000,,
,"1 2 C","Indicated Angle of Attack (#2 Right)","Deg/180","?180",12,,0.05,31.3,62.5,,
,"1 4 0","Angle of Attack, Indicated #2 Right","Deg","?180",12,,0.05,31.5,62.5,,
,,,,,,,,,,,
"2 2 7","0 3 D","AVM Command",,,,,,,,,06/28/13
,"0 7 E","BITE Command Word                      ","         ",,,,,,,,"See ARINC 604"
,,,,,,,,,,,
"2 3 1","0 A D","Total Air Temperature","Deg C",512,12,,0.125,20,200,,
,,,,,,,,,,,
"2 3 3","0 0 2","ACMS Information",,,,,,,,,06/01/31
,"0 5 6","ACMS Information",,,,,,,,,
,"0 6 0","ACMS Information",,,,,,,,,
"2 3 4","0 0 2","ACMS Information",,,,,,,,,06/01/31
,"0 5 6","ACMS Information",,,,,,,,,
,"0 6 0","ACMS Information",,,,,,,,,
,,,,,,,,,,,
"2 3 5","0 0 2","ACMS Information",,,,,,,,,06/01/31
,"0 5 6","ACMS Information",,,,,,,,,
,"0 6 0","ACMS Information",,,,,,,,,
,,,,,,,,,,,
"2 3 6","0 0 2","ACMS Information",,,,,,,,,06/01/31
,"0 5 6","ACMS Information",,,,,,,,,
,"0 6 0","ACMS Information",,,,,,,,,
,,,,,,,,,,,
"2 3 7","0 0 2","ACMS Information ",,,,,,,,,
,"0 0 B","Horizontal Uncertainty Level ","N.M.",16,17,,0.000122,,1200,,"See ARINC 743A"
,"0 5 6","ACMS Information ",,,,,,,,,
,"0 6 0","ACMS Information ",,,,,,,,,
,,,,,,,,,,,
"2 4 1","0 0 2","Min. Airspeed for Flap Extension","Knots    ",512,11,,0.25,500,1000,50,
,"0 0 6","Corrected Angle of Attack              ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 3 8","Corrected Angle of Attack              ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 4 D","FQIS System Data",,,,,,500,1024,,06/01/35
,"0 5 6","Min. Airspeed for Flap Extension","Knots    ",512,11,,0.25,500,1000,,
,"0 6 0","Min. Airspeed for Flap Extension","Knots    ",512,11,,0.25,500,1000,,
,"1 4 0","Angle of Attack, Corrected","Deg","?180",12,,0.05,31.5,62.5,,
,,,,,,,,,,,
,,,,,,,,,,,
"2 4 2","0 0 6","Total Pressure                         ","mb       ",2048,16,,0.03125,62.5,125,,
,"0 1 A","Total Pressure                         ","mb       ",2048,16,,0.03125,62.5,125,,
,"0 3 8","Total Pressure                         ","mb       ",2048,16,,0.03125,62.5,125,,
,"0 3 B","Speed Deviation                        ","Dots     ",4,11,,0.002,150,250,,
,"0 A D","Total Pressure, Uncorrected, mb                         ","mb       ",2048,18,,0.008,20,200,,
,"1 4 0","Total Pressure","mb",2048,16,,0.03125,62.5,125,,
,,,,,,,,,,,
"2 4 3","X X X","Simulator  to Avcs Control Word     ","         ",,,,,33,100,,"See ARINC Rpt 610"
,,,,,,,,,,,
"2 4 4","0 1 C","Fuel Flow (Engine Direct)              ","Lbs/hr   ",32768,8,,128,100,200,,
,"0 3 3","Fuel Flow (Wf)                         ","pph      ",32768,16,,0.5,150,250,,
,"0 3 B","Mach Error                             ","Mach     ",0.064,11,,0.00003,150,250,,
,"0 8 D","Fuel Flow Rate                         ","PPH      ",32768,16,,0.5,75,125,,
,"1 0 A","Fuel Mass Flow                         ","MSEC     ",256,15,,0.008,31.3,100,,
,"1 0 B","Fuel Mass Flow                         ","MSEC     ",256,15,,0.008,31.3,100,,
,"1 4 0","Angle of Attack, Normalized","Ratio",2,11,,0.001,62.5,125,,
,,,,,,,,,,,
"2 4 5","0 0 2","Minimum Airspeed                       ","Knots    ",256,12,,0.0625,62.5,125,,
,"0 0 3","Minimum Airspeed                       ","Knots    ",256,12,,0.0625,62.5,125,,
,"0 0 A","Minimum Airspeed                       ","Knots    ",512,13,,0.0625,62.5,125,,
,"0 2 9","N3 (Engine)                            ","% RPM     ",256,14,,0.015,50,100,,
,"0 3 8","Avg. Static Pres. mb uncorrected ","mb       ",2048,16,,0.03125,62.5,125,,
,"0 3 B","EPR Error                              ","         ",4,12,,0.001,150,250,,
,"0 A D","Average Static Pressure mb Uncorrected","mb       ",2048,16,,0.03125,62.5,125,,
,"0 5 6","Minimum Airspeed","Knots    ",256,12,,0.0625,62.5,125,,
,"0 6 0","Minimum Airspeed","Knots    ",256,12,,0.0625,62.5,125,,
,"1 4 0","Static Pressure, Uncorrected","mb       ",2048,16,,0.03125,62.5,125,,
,,,,,,,,,,,
"2 4 6","0 0 2","Control Maximum Speed (VCMAX)          ","Knots    ",512,11,,0.25,50,100,50,
,"0 0 6","Average Static Pressure                ","mb       ",2048,16,,0.03,62.5,125,,
,"0 1 C","N1 (Engine Direct)                     ","RPM      ",4096,12,,1,100,200,,
,"0 2 9","N1 (Engine Direct)                     ","% RPM     ",256,14,,0.015,50,100,,
,"0 3 8","Avg Static Pres mb Corrected ","mb       ",2048,16,,0.03125,62.5,125,,
,"0 3 B","Angle of Attack Error                  ","Deg/180  ","?180",14,,0.01,150,250,,
"2 4 7","0 0 2","Control Min. Speed (VCMIN)          ","Knots    ",512,11,,0.25,50,100,50,
,"0 0 B","Horizontal Figure of Merit","N.M.",16,18,,6.10E-005,200,1200,,
,"0 1 F","Total Fuel                             ","Lbs.     ",655360,14,,40,500,1000,,
,"0 2 C","Total Fuel                             ","Lbs.     ",655360,14,,40,500,1000,,
,"0 3 B","Speed Error                            ","Knots    ",256,12,,0.06,150,250,,
,"0 4 D","Total Fuel                             ","Lbs.     ",655360,14,,40,500,1000,,
,"0 5 6","Control Minimum Speed (Vcmin)","Knots    ",512,11,,0.25,50,100,,
,"0 5 A","Total Fuel","Lbs.",655360,14,,40,100,200,,
,"0 6 0","Control Minimum Speed (Vcmin)","Knots    ",512,11,,0.25,50,100,,
,"0 E B","Fuel to Remain                         ","Lbs.     ",1638400,14,,100,100,125,,
,"1 1 4","Fuel on Board","Lbs.",655320,13,,40,,,,
,"1 4 0","Airspeed Minimum Vmc","Knots",512,11,,0.25,62.5,125,,
,,,,,,,,,,,
"2 5 0","0 0 2","Continuous N1 Limit                     ","% RPM     ",256,14,,0.015,50,200,200,
,"0 2 B","Maximum Continuous EPR Limit            ",,4,12,,0.001,100,200,,
,"0 2 C","Preselected Fuel Quantity               ","Lbs.     ",655360,14,,40,100,400,,
,"0 5 A","Preselected Fuel Quantity","Lbs.",655360,14,,40,100,200,,
,"0 3 8","Indicated Side Slip Angle               ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,"0 A D","Indicated Side Slip Angle or AOS             ","Deg/180  ","?180",14,,0.01,31.3,200,,
,"1 1 4","Preselected Fuel Quantity","Lbs.",655320,13,,40,,,,
,,,,,,,,,,,
"2 5 1","0 0 1","Distance to Go                          ","N.M.     ",4096,15,,0.125,100,200,,
,"0 0 2","Distance to Go                          ","N.M.     ",4096,15,,0.125,100,200,,
,"0 0 6","Baro Corrected Altitude #3              ","Feet     ",131072,17,,1,31.3,62.5,,
,"0 1 A","Flight Leg Counter                      ","         ",,,,,75,175,,06/19/13
,"0 3 8","Baro Corrected Altitude #3              ","Feet     ",131072,17,,1,31.3,62.5,,
,,,,,,,,,,,
"2 5 2","0 0 1","Time to Go                              ","Min.     ",512,9,,1,100,200,,
,"0 0 2","Time to Go                              ","Min.     ",512,9,,1,100,200,,
,"0 0 6","Baro Corrected Altitude #4              ","Feet     ",131072,17,,1,31.3,62.5,,
,"0 1 A","EPR Idle                                ","         ",4,12,,0.001,100,200,,
,"0 2 F","EPR Idle Reference                      ","        ",4,12,,0.001,100,200,,
,"0 3 8","Baro Corrected Altitude #4              ","Feet     ",131072,17,,1,31.3,62.5,,
,"0 3 F","EPR Idle Reference                      ","         ",4,12,,0.001,100,200,,
,"0 E B","Time Until Jettison Complete            ","Minutes  ",64,6,,1,500,1000,,
,,,,,,,,,,,
"2 5 3","0 0 2","Go-Around N1 Limit                      ","% RPM     ",256,14,,0.015,50,200,200,
,"0 1 E","Go-Around EPR Limit                     ","         ",4,12,,0.001,100,200,,
,"0 3 8","Corrected Side Slip Angle               ","Deg/180  ","?180",12,,0.05,31.3,62.5,,
,,,,,,,,,,,
"2 5 4","0 0 2","Cruise N1 Limit                         ","% RPM     ",256,14,,0.015,50,200,200,
,"0 1 E","Cruise EPR Limit                        ","         ",4,12,,0.001,100,200,,
,"0 4 D","Actual Fuel Quan (test)","Lbs",262144,15,,8,500,1000,,
,"1 3 A","N1 Cruise","% N1 Nom",256,14,,0.015,100,200,,
,"1 4 0","Altitude Rate","Ft/Min",131072,13,,16,31.25,62.5,,
,,,,,,,,,,,
"2 5 5","0 0 2","Climb N1 Limit                          ","% RPM     ",256,14,,0.015,50,200,200,
,"0 1 E","Climb EPR Limit                         ","         ",4,12,,0.001,100,200,,
,"0 2 F","Maximum Climb EPR Rating                   ","N/A      ",4,12,,0.001,100,200,,
,"0 3 F","Maximum Climb EPR Rating                   ","N/A      ",4,12,,0.001,100,200,,
,"0 4 D","Fuel Quantity (gal)","Gallons",32768,15,,1,500,1000,,
,"0 8 E","Spoiler Position                        ","Deg/180  ",180,11,,0.1,50,100,,
,"1 3 A","N1 Climb","% N1 Nom",256,14,,0.015,100,200,,
,"1 4 0","Impact Pressure","mb",4096,17,,0.03125,62.5,125,,
,,,,,,,,,,,
"2 5 6","0 0 2","Time For Climb                          ","Min.     ",512,9,,1,100,200,,
,"0 0 A","V Stick Shaker                          ","Knots    ",512,11,,0.25,100,200,,
